de;fr;it;en;carbohydrates, available;energy;fat;fatty saturated;fiber;proteins;salt;sodium;sugars
Crunchy Nut Honig & Erdnüsse (Kellogg's);Crunchy Nut (Kellogg's);Crunchy Nut (Kellogg's);Crunchy Nut Honig & Erdnüsse (Kellogg's);82;405;5;0,9;2,5;6;;350;35
Dattel, getrocknet;Datte, sèche;Datteri, secchi;Date, dried;69;305;1;0;7,1;2,5;1;3;69
Dinkelmehl, Ruch, Typ 1100;Farine d'épeautre bise, type 1100;Farina di spelta tipo 1100;Spelt, flour Ruch (type 1100);65;350;2;0,3;5,7;14,3;;27;1,4
Dinkelmehl, Vollkorn, Typ 1900;Farine d'épeautre, complète, type 1900;Farina di spelta integrale tipo 1900;Spelt, wholemeal flour (type 1900);60;350;3;0,4;9,4;15,6;;13;1,2
Dinkelmehl, weiss, Typ 550;Farine d'épeautre blanche, type 550;Farina di spelta bianca tipo 550;Spelt, fine flour (type 550);69;350;2;0,3;2,8;13,3;;6,8;0,9
Distelöl;Huile de chardon;Olio di cardo;Safflower oil;0;810;90;8;0;0;0;0;0
Doppelrahm, pasteurisiert;Double crème, pasteurisée;Doppia panna, pastorizzata;Cream, at least 45 % milk fat, pasteurized;3;425;45;27;0;2,1;80;20;2,8
Dorsch, roh;Morue, cru;Merluzzo bianco, crudo;Cod, raw;0;80;0;0,1;0;18,1;160;53;0
Dulce de Leche;Dulce de Leche;Dulce de Leche;Dulce de Leche;53;300;7;4,4;0;5,9;17;69;52,6
Edelkastanie, roh;Châtaigne, crue;Castagne, crude;Chestnut, raw;42;200;2;0,3;1,4;2,9;0,1;0,6;5
Egli, roh;Perche, crue;Pesce Persico, crudo;Eurasian perch, raw;0;80;1;0,1;0;18;4;92;0
Eieromeletten mit Käse, zubereitet;Omelette à la française au fromage, préparée;Omelette francese al formaggio, preparato;French omelette with cheese, prepared;1;195;15;6,4;0,1;13,8;27;370;1,2
Eieromeletten mit Schinken, zubereitet;Omelette à la française au jambon, préparée;Omelette francese al prosciutto, preparato;French omelette with ham, prepared;1;150;10;3,3;0,1;12,6;26;410;1,3
Eieromeletten mit Speck, zubereitet;Omelette à la française au lard, préparée;Omelette francese al lardo, preparato;French omelette with bacon, prepared;1;185;14;5;0,1;12,3;25;270;1,3
Eieromeletten, zubereitet;Omelette à la française, préparée;Omelette francese, preparato;French omelette, prepared;1;155;12;3,8;0;11,1;30;330;1,4
Eierschwamm, gedünstet (ohne Zugabe von Fett und Salz);Chanterelle, à l'étuvée (sans adjonction de graisse ni de sel);Gallinaccio, stufato (senza aggiunta di grasso e sale);Chanterelle, stewed (without addition of fat and salt);0;30;1;0,1;5,7;2;3,5;3,2;0,2
Eierschwamm, roh;Chanterelle, crue;Gallinaccio, crudo;Chanterelle, raw;0;25;1;0,1;4,7;1,6;3;3;0,2
Eisbergsalat, roh;Salade Iceberg, crue;Lattuga ghiaccio, cruda;Iceberg lettuce, raw;2;20;0;0;1,8;1;2;3,6;1,6
Eistee, gezuckert;Thé froid, sucré;Té freddo, zuccherato;Ice Tea, sweetened;8;30;0;0;0;0;0,9;0;7,5
Emmentaler, vollfett;Emmentaler, gras;Formaggio Emmentaler grasso;Emmentaler cheese, at least 45% fidm;0;415;33;20,3;0;29;20;170;0
Endivie, roh;Chicorée scarole, crue;Indivia, cruda;Endive, raw;1;20;0;0;1,2;1,8;2,9;43;1,2
Engadiner Nusstorte;Gateau au noix d' Engadine;Torta di noci engadinese;Nut tart from Engadin;50;490;28;10,2;2;7;3,5;14;30,7
Erbse (Konserve) ;Petit-pois, conserve;Piselli, conserva;Green peas, canned;13;90;1;0,1;5;4,8;5,2;260;0
Erbse (Konserve), aufgewärmt (ohne Zugabe von Salz);Petit-pois (conserve), réchauffé (sans adjonction de sel);Piselli (conserva), riscaldato (senza aggiunta di sale);Green peas (canned), heated (without addition of salt);14;95;1;0,1;5,3;5,1;5,3;230;0
Erbse, grün, gedämpft (ohne Zugabe von Salz);Petit-pois, à la vapeur (sans adjonction de sel);Piselli, verdi, al vapore (senza aggiunta sale);Green pea, steamed (without addition of salt);14;105;1;0,1;6,9;6,9;4,6;1,9;6,3
Erbse, grün, roh;Petit-poid, cru;Pisello, crudo;Green pea, raw;12;90;1;0,1;6;6;4,2;2;5,5
Erbsen und Karotten (Konserve);Petit-pois et carottes, conserve;Piselli e carote, conserva;Green peas and carrots, canned;10;70;1;0,1;4,5;3,8;3,2;410;5,8
Erbsen und Karotten (Konserve), aufgewärmt (ohne Zugabe von Salz);Petits-pois et carottes, réchauffés (sans adjonction de sel);Piselli e carote, (conserva), riscaldato (senza aggiunta di sale);Green peas and carrots (canned), heated (without addition of salt);10;75;1;0,1;4,8;4;3,2;370;6,2
Erdbeere, roh;Fraise, crue;Fragola, cruda;Strawberry, fresh;7;40;1;0;2,2;0,7;1;2;7
Erdnuss;Cacahuète;Arachidi;Peanut;11;600;49;11,6;7,6;26;3,2;18;4
Erdnuss-Flips;Flips aux cacahuètes;Snack Flips di arachidi;Peanut curls;57;510;24;4,4;4,9;13,2;5;770;0
Erdnuss, geröstet;Cacahuète, grillée;Arachidi, tostate;Peanut, roasted;9;595;49;9,2;8,2;25,3;13;9;3,6
Erdnussbutter;Beurre d'arachides;Burro di arachidi;Peanut butter;12;640;54;10,7;7,6;22,6;0;350;6,4
Erdnussöl;Huile d'arachide;Olio di arachidi;Peanut oil;0;810;90;16,2;0;0;0;0;0
Espresso crème, ungezuckert;Expresso crème, non sucré;Espresso crema, non zuccherato;Espresso with coffee cream, no sugar added;1;30;3;1,5;0,1;0,5;1,9;14;0,6
Essig;Vinaigre;Aceto;Vinegar;1;25;0;0;0;0,1;;7,7;0,3
Essig-Öl-Salatsauce (mit Rapsöl);Sauce de salade vinaigre-huile (avec huile de colza);Salsa per insalata aceto-olio (con olio di colza);Vinegar-oil-salad dressing (with rapeseed oil);5;330;33;2,7;0,9;0,7;0,8;270;2,8
Feige, getrocknet;Figue, sèche;Fichi, secchi;Fig, dried;57;275;1;0,2;11;3,2;4;14;56,8
Feige, roh;Figue, crue;Fico, crudo;Fig, fresh;16;75;0;0;3;0,9;1,5;3;15,5
Felche, roh;Corégone / Lavaret, cru;Coregone lavarello, crudo;Whitefish, raw;0;105;2,7;0,6;0;19,2;1,5;20;0
Fenchel, gedämpft (ohne Zugabe von Salz);Fenouil, à la vapeur (sans adjonction de sel);Finocchio, al vapore (senza aggiunta di sale);Fennel, steamed (without addition of salt);2;25;0;0;3,3;1,1;4,8;13;0,1
Fenchel, roh;Fenouil, cru;Finocchio, crudo;Fennel, raw;2;25;0;0;3,3;1,1;5;15;0,1
Fisch (Durchschnitt), roh ;Poisson (moyen), cru;Pesce (in media), crudo ;Fish (average), raw ;0;140;6;1,4;0;20,2;38;52;0
Fischstäbchen (paniert und vorfritiert), gebraten in HOLL-Rapsöl;Bâtonnet de poisson (pané et préfrit), grillé au colza HOLL;Bastoncino di pesce (impanato e prefritto), cotto in olio di colza HOLL;Fish fingers/sticks (breaded and pre deep fried), fried in HOLL rapeseed oil;17;310;19;1,5;0,9;17,6;96;230;0,1
Fischstäbchen (paniert und vorfritiert), im Ofen gebacken (ohne Zugabe von Fett);Bâtonnet de poisson (pané et préfrit), au four (sans adjonction de graisse);Bastoncino di pesce (impanato e prefritto), cotto al forno (senza aggiunta di grasso);Fish fingers/sticks (breaded and pre deep fried), oven baked (without addition of fat);17;265;13;1,1;0,9;18,4;100;240;0,1
Fischstäbchen, paniert und vorfritiert;Bâtonnet de poisson, pané et préfrit;Bastoncino di pesce, impanato e prefritto;Fish fingers (sticks), breaded and pre deep fried;15;235;12;1;0,8;16,2;89;250;0,1
Flammenkuchen, gebacken;Tarte flambée, cuite au four;Flammkuchen, cotto nel forno;French pizza from Alsace, baked;23;270;15;7,1;1,4;9,3;4,5;400;2,4
Fleisch (Durchschnitt exkl. Innereien), roh ;Viande (moyenne sans abats), crue;Carne (in media, senza interiora), cruda;Meat (average excluding offal), raw ;0;145;7;2,4;0;21,5;2,1;58;0
Fleischkäse;Fromage d'Italie;Fleischkäse (pasticcio di carne);Luncheon meat;1;260;22;8,8;0;12,5;;900;1,4
Fleischlasagne, zubereitet;Lasagne de viande, préparée;Lasagne di carne, preparata;Meat lasagne, prepared;13;160;7;3,2;1,6;9,7;4,8;370;2,7
Flunder, roh;Flet, cru;Passera pianuzza, cruda;Flounder, raw;0;75;1;0,1;0;16,5;6,3;150;0
Fondue alkoholfrei, zubereitet;Fondue sans alcool, préparé;Fondue senza alcool, preparato;Fondue without alcohol, prepared;2;285;22;13,6;0;19,4;17;120;1
Fondue klassisch, zubereitet;Fondue classique, préparé;Fondue classico, preparato;Fondue, prepared;1;310;23;14,4;0;20,6;17;120;0,1
Fondue moitié-moitié, zubereitet;Fondue moitié-moitié, préparé;Fondue moitié-moitié, preparato;Fondue moitié-moitié, prepared;1;285;21;12,9;0;17,6;16;410;0
Forelle, roh;Truite, cru;Trota, cruda;Trout, raw;0;130;7;1,7;0;16;14;40;0
Fotzelschnitte ungezuckert;Pain perdu non sucré;Fotzelschnitte non zuccherato;French toast unsweetened;25;225;10;5,1;1,2;8;11;360;1,7
Freiburger Vacherin;Vacherin fribourgeois;Vacherin friborghese;Vacherin Fribourgeois;0;375;30;18,2;0;24;27;600;0
Frischkäse, Doppelrahm;Fromage frais, double crème;Formaggio fresco, alla doppia panna;Cream cheese, min. 60% fidm;5;340;32;19,2;0;7,9;8;500;2,3
Früchte (Durchschnitt), gekocht (ohne Zugabe von Zucker);Fruit (moyenne), cuit (sans adjonction de sucre);Frutta (in media), cotta (senza aggiunta di zucchero);Fruits (average), cooked (without addition of sugar);13;65;0;0,1;2,9;0,6;1,4;3,7;13
Früchte (Durchschnitt), getrocknet;Fruits (moyenne), séchés;Frutta (in media), secca;Fruit (average), dried;58;280;1;0,2;10,7;2,8;4,2;12;53,6
Früchte (Durchschnitt), roh;Fruit (moyenne), cru;Frutta (in media), cruda;Fruits, raw (average);12;60;0;0;2;0,7;1,2;2,7;11,3
Fruchtsaft-Schorle (Durchschnitt, 60% Saft - 40% Wasser), ungezuckert;Jus de fruit dilué (60% jus - 40 % eau), non sucré (moyenne);Succo di frutta diluito (in media), senza aggiunta di zuccheri (60% succo, 40% acqua);Fruit juice diluted (average, 60% juice - 40% water), no sugar added;7;35;0;0;0;0,2;0,9;1,5;7,1
Fruchtsaft (Durchschnitt), ungezuckert;Jus de fruit, non sucré (moyenne);Succo di frutta, senza aggiunta di zucchero (in media);Fruit juice (average), no sugar added;12;55;0;0;0;0,3;1,5;1,8;11,8
Fruchtsalat, gezuckert (Konserve);Macédoine de fruits, sucrée, conserve;Macedonia di frutta, zuccherata, conserva;Fruit salad, sweetened, canned;18;80;0;0;1,8;0,5;1,9;0,8;17,7
Fruchtsalat, ungezuckert (Konserve);Macédoine de fruits, non sucrée, conserve;Macedonia di frutta, non zuccherata, conserva;Fruit salad, unsweetened, canned;11;55;0;0;2;0,5;2;0,9;11,3
Fruchtwähe/-kuchen (Durchschnitt);Tarte aux fruits (moyenne);Torta di frutta (in media);Fruit pie (average);17;155;8;4,3;3,2;2,9;2,9;95;7,7
Fruchtwähe/-kuchen mit Blätterteig (Durchschnitt);Tarte aux fruits, pâte feuilletée (moyenne);Torta di frutta, pasta sfoglia (in media);Fruit pie with puff pastry (average);15;140;7;3,8;2,4;2,6;3,1;94;7,6
Fruchtwähe/-kuchen mit Kuchenteig (Durchschnitt);Tarte aux fruits, pâte à gateau (moyenne);Torta di frutta, pasta per torta (in media);Fruit pie with cake dough (average);17;130;5;2,6;2,6;3;3,2;100;7,6
Fruchtwähe/-kuchen mit süssem Mürbeteig (Durchschnitt);Tarte aux fruits, cuite au four, pâte brisée sucrée (moyenne);Torta di frutta, cotta nel forno, pasta frolla dolce (in media);Fruit pie with sweet short pastry base (average);19;200;11;6,4;4,6;3,2;2,5;92;8
Fünfkornbier;Bière aux cinq céréales;Birra ai cinque cereali;Beer, five grain;2;40;0;0;0,2;0,6;0;1,4;2
Garnele, gekocht;Crevette, cuite;Gambero, cotto;Shrimp, boiled;1;60;1;0,1;0;12;86;170;0
Garnele, roh;Crevette, crue;Gambero, crudo;Shrimp, raw;1;60;1;0,1;0;11,4;91;190;0
Geflügelfleisch (Durchschnitt exkl. Innereien), roh;Viande de volaille (moyenne sans abats), crue;Carne di pollame cruda (in media, senza interiora);Poultry (average excluding offal), raw;0;135;5;1,5;0;21,9;5,4;56;0
Geflügelfleisch mit Haut (Durchschnitt), roh;Viande de volaille avec peau (moyenne), crue;Carne di pollame con pelle (in media), cruda ;Poultry with skin (average), raw;0;155;8;2,4;0;20,7;9,2;53;0
Geflügelfleisch ohne Haut (Durchschnitt exkl. Innereien), roh;Viande de volaille sans peau (moyenne sans abats), crue;Carne di pollame senza pelle (in media), cruda ;Poultry without skin (average excluding offal), raw;0;115;3;0,8;0;22,9;2,2;58;0
Geflügellyoner;Charcuterie  de volaille;Lioner di pollo;Lyoner sausage (poultry);1;205;16;5,1;0;13,5;;920;0,9
Gehacktes (Durchschnitt aus Rind, Kalb, Schwein, Poulet), roh;Viande hachée (moyenne de veau, boeuf, porc, poulet), crue;Carne tritata (media di manzo, vitello, maiale e pollo, cruda;Minced meat (average of beef, veal, pork, chicken), raw;0;145;6;2,4;0;21,6;1,5;48;0
Gemüse (Durchschnitt), roh;Légumes (moyenne), crus;Verdura (in media), cruda;Vegetables (average), raw;4;30;0;0;2;1,3;2,6;15;3,5
Gemüsegratin, gebacken;Gratin de légumes, cuit au four;Verdura al gratin, cotta nel forno;Vegetable au gratin, baked;2;60;4;2;1,9;3;4,1;100;1,6
Gemüselasagne, zubereitet;Lasagne de légume, préparée;Lasagne di verdura, preparata;Vegetable lasagne, prepared;12;135;7;4,1;1,1;4,8;5,7;460;2,6
Gerstenflocken;Orge, flocons;Fiocchi di orzo;Barley flakes;66;330;2;0,3;10,3;7,9;1;3;2,4
Gerstenflocken, Vollkorn;Orge, flocons complets;Fiocchi d'orzo, integrali;Barley, wholemeal flakes;66;330;2;0,3;10,3;7,9;1;3;2
Gerstotto, gekocht;Potée à l'orge, cuite;Orzotto, cotto;Barley risotto, cooked;25;140;2;0,3;1,8;3,4;0,7;340;1,7
Geschnetzeltes (Durchschnitt aus Rind, Kalb, Schwein, Geflügel), roh;Viande émincée (moyenne de veau, boeuf, porc, poulet), crue;Spezzatino (media di manzo, vitello, maiale e pollo), crudo;Meat, chopped (average of beef, veal, pork, poultry), raw;0;120;3;1;0;21,9;1,4;53;0
Getreideflocken (Durchschnitt);Flocons de céréales (moyenne);Fiocchi di cereali (in media);Cereal flakes (average);64;345;3;0,6;9;10,2;1,5;7,4;1,5
Gipfeli (Durchschnitt);Croissant (moyenne);Cornetti (in media);Croissant (average);40;410;23;13,4;2,7;8;34;850;2
Glarner Schabziger;Fromage aux herbes glaronnais ;Formaggio alle erbe glaronese ;Schabziger (Swiss green cheese);0;135;1;0,3;0;32,3;0;1740;0
Gorgonzola;Gorgonzola;Gorgonzola;Gorgonzola;0;360;31;18,7;0;19,4;40;1450;0,1
Grapefruit, roh;Pamplemousse, cru;Pompelmo, crudo;Grapefruit, fresh;6;30;0;0;1,3;0,7;1,3;1;5,9
Greyerzer, vollfett;Gruyère, gras;Formaggio Gruyère, grasso;Greyerzer, at least 45% fidm;0;400;32;19,2;0;27;11;590;0
Griessbrei, zubereitet (mit teilentrahmter Milch);Semoule, préparée (avec du lait partiellement écrémé);Semolino, preparato (con latte parzialmente scremato);Semolina pudding, prepared (with partially skimmed milk);12;95;3;1,8;0,4;4,8;9,3;72;4,8
Griessbrei, zubereitet (mit Vollmilch);Semoule, préparée (avec du lait entier);Semolino, preparato (con latte intero);Semolina pudding, prepared (with full fat milk);12;95;3;1,8;0,4;4,8;9,3;72;4,8
Griessschnitte, zubereitet (mit teilentrahmter Milch);Tranche de semoule, préparée (avec du lait partiellement écrémé);Fetta di semolino, preparato (con latte parzialmente scremato);Semolina slice, prepared (with partially skimmed milk);15;150;6;3,4;0,7;6,3;12;100;3,8
Griessschnitte, zubereitet (mit Vollmilch);Tranche de semoule, préparée (avec du lait entier);Fetta di semolino, preparato (con latte intero);Semolina slice, prepared (with full fat milk);15;160;8;4,1;0,7;6,3;9,7;100;3,8
Grittibänz;Bonhomme en pâte;Grittibänz (pane dolce);Grittibänz (Swiss bread man);47;330;11;6,4;2,2;9,2;5;570;2,8
Gugelhopf Grossmutter Art;Kouglof façon Grand-mère;Ciambellone a la nonna;Ring cake grandmother style;33;460;32;13,2;3,1;8,3;8,4;140;27,1
Gulaschsuppe;Soupe goulache;Zuppa gulasch;Goulash soup;6;70;2;1;0,4;4,8;0,5;230;1,4
Gummibonbon mit Fruchtessenz;Bonbon gélifié à l'arome de fruit;Caramella gommosa all'aroma di frutta;Jelly babies with fruit essence;79;345;0;0;0;6,6;0;62;74,7
Gurke, in Essig eingelegt;Cornichon au vinaigre;Cetriolini, sott'aceto;Cucumber, pickled;2;15;0;0;1;0,7;0;700;1,9
Gurke, roh;Concombre, cru;Cetriolo, crudo;Cucumber, raw;2;15;0;0;0,8;0,7;2,9;0,9;1,9
Hackbraten, im Ofen gebacken;Rôti de viande hachée, cuit au four;Polpettone, cotto al forno;Meat loaf, baked in the oven;8;200;11;3,1;0,6;17,1;4,8;890;0,9
Hackplätzli (Rind), gebraten in Rapsöl HOLL;Hamburger (boeuf), grillé au colza HOLL;Hamburger (manzo), cotto in olio di colza HOLL;Burger patty (beef), pan fried in HOLL rapeseed oil;6;205;11;3,2;0,7;20,4;6,7;300;1,5
Haferbrei, zubereitet (mit teilentrahmter Milch);Porridge, préparé (avec du lait partiellement écrémé);Pappa d'avena, preparata (con latte parzialmente scremato);Porridge, prepared (with partially skimmed milk);18;135;4;2,1;0,7;6,4;11;85;5,6
Haferbrei, zubereitet (mit Vollmilch);Porridge, préparé (avec du lait entier);Pappa d'avena, preparata (con latte intero);Porridge, prepared (with full fat milk);16;150;6;3,2;1,9;6,4;12;89;5,7
Haferflocken;Avoine, flocons;Fiocchi di avena;Oat flakes;58;375;8;1;10,5;13,5;0,5;20;1
Haferkleie;Son d'avoine;Crusca d'avena;Oat bran, raw;51;370;7;1,3;15,4;17,3;0;4;0
Halbfettbutter;Beurre mi-gras;Burro semigrasso;Butter, 40% fat;4;390;40;24,1;0;4;3,5;120;3,5
Halbrahm, pasteurisiert;Demi-crème, pasteurisée;Panna semigrassa, pastorizzata;Cream, pasteurized, 25% fat;3;275;28;16,7;0;2,3;11;35;3,3
Halbrahm, UHT;Demi-crème, UHT;Panna semigrassa, UHT;Cream, UHT;4;255;25;15,1;0;2,6;11;34;3,7
Halbweissbrot;Pain mi-blanc;Pane semi-bianco;Semi-white bread;46;240;1;0,1;3,7;9,4;1,1;680;0,4
Hart- und Halbhartkäse, vollfett (Durchschnitt);Fromage à pâte dure et mi-dure, grasse (en moyenne);Formaggio a pasta dura e semi dura, grasso (in media);Hard and semi hard cheese, full fat (average);0;400;32;19,5;0;27,2;15;460;0
Hartkaramellen, Hartbonbons;Bonbon dur;Caramella dura;Hard caramels;95;385;0;0,2;0;0,5;0;25;95
Hartweizengriess, trocken;Semoule de blé dur, sèche;Semola di grano duro, secca;Durum wheat semolina;70;355;1;0,2;4;12,6;5,1;3;0
Hase (Durchschnitt), roh;Lièvre (moyenne), cru;Lepre (media), cruda;Hare, fresh;0;115;3;1;0;22;0,6;44;0
Haselnuss;Noisette;Nocciole;Hazelnut;7;645;60;4,2;9,7;15,2;6,5;0,9;4,3
Haselnuss-Schokolade-Brotaufstrich;Pâte à tartiner aux noisettes et au chocolat;Crema da spalmare alle nocciole e cioccolato;Hazelnut-chocolate spread;56;550;33;12;2,9;5,8;7;45;54,8
Haselnusskekse;Biscuits aux noisettes;Biscotti alle nocciole;Hazelnut cookie;47;475;28;8;3,5;6,7;2;52;23,3
Haselnussmakrone;Macarons aux noisettes;Biscotti alle nocciole;Hazelnut macaroon;36;535;37;2,6;6;11,4;5,3;80;33,8
Haselnussstängeli;Bâtonnets aux noisettes;Bastoncini alle nocciole;Nut sticks;46;565;37;12,6;3,6;10,1;6;55;23
Hecht, roh;Brochet, cru;Luccio, crudo;Pike, raw;0;85;1;0,2;0;18,4;8;75;0
Hefeteig (mit Butter), süss, ungebacken;Pâte lévée (avec beurre), sucrée, crue;Pasta lievitata (con burro), dolce, cruda;Yeast dough (with butter), sweet, raw;43;315;11;6,1;1,9;8,6;5,1;380;6,4
Hefeteig (mit pflanzlichem Fett), süss, ungebacken;Pâte lévée (avec graisse végétale), sucrée, crue;Pasta lievitata (con grassa vegetale), dolce, cruda;Yeast dough (with vegetable fat), sweet, raw;40;305;12;3,4;2;9,1;5,6;400;1,1
Heidelbeere, roh;Myrtille, crue;Mirtillo, crudo;Blueberry, raw;11;60;1;0;3;0,6;1;2;11,3
Heilbutt, roh;Flétan, cru;Halibut, crudo;Halibut, raw;0;120;4;0,5;0;20,6;1;64;0
Himbeere, roh;Framboise, crue;Lampone, crudo;Raspberry, raw;7;55;1;0;6,7;1,2;3;3;7
Hinterschinken;Jambon cuit de derrière;Prosciutto cotto di coscia;Ham, cooked;1;105;2;0,8;0;20,2;3,6;940;0,7
Hirsch (Durchschnitt), roh;Cerf (moyenne), cru;Cervo (in media), crudo;Deer (average), raw;0;115;3;1,5;0;20,6;0,6;62;0
Hirsch, Entrecôte, roh;Cerf, entrecôte, crue;Cervo, entrecôte, crudo;Deer, entrecôte, raw;0;115;2;1,2;0;23,1;7,8;53;0
Hirse, Korn geschält;Millet, grains décortiqués;Miglio, grano sgusciato;Millet, grain peeled;69;360;4;0,9;3,8;9,8;2,5;3;1,4
Hirseflocken, Vollkorn;Millet, flocons complets;Fiocchi di miglio, integrali;Millet, wholemeal flakes;69;360;4;0,9;3,8;9,8;2,5;3;1,4
Hirsotto, gekocht;Potée au millet, cuite;Migliotto, cotto;Millet risotto, cooked;25;145;3;0,5;1,6;3,6;1,3;350;1,5
Hollandaisesauce;Sauce hollandaise;Salsa olandese;Hollandaise sauce;9;215;18;9;0,1;3;4,5;400;6,2
Holunderbeere, schwarz, roh;Baie de sureau noir, crue;Bacca di sambuco nero, cruda;Elderberry, raw;7;55;1;0;4;2,5;3;1;7,4
Honig (Blütenhonig);Miel (miel de fleurs);Miele (miele di fiori);Honey, from flowers;76;310;0;0;0;0,4;0,5;7;76
Honigmelone, roh;Melon, cru;Melone, crudo;Honeydew melon, raw;8;40;0;0;0,9;0,7;1;18;8
Hot Dog in Weissbrot mit Ketchup und Senf;Hot Dog en pain blanc avec ketchup et moutarde;Hot Dog in pane bianco con ketchup e senape;Hot Dog in white bread with ketchup and mustard;32;230;7;2,4;1,8;9,1;0,5;800;2,5
Hühnerei, ganz, festgekocht;Oeuf de poule, entier, cuit dur;Uovo di gallina, bollito, sodo;Chicken egg, whole, hard boiled;0;160;11;2,9;0;13,2;34;150;0,3
Hühnerei, ganz, roh;Oeuf de poule, entier, cru;Uovo di gallina, crudo;Egg, raw;0;145;10;2,6;0;11,9;32;140;0,3
Hühnereigelb, roh (Eidotter);Jaune d'oeuf, cru;Tuorlo d'uovo, crudo;Egg yolk, raw;0;350;32;9,4;0;16,5;12;50;0,2
Hühnereiweiss, roh (Eiklar);Blanc d'oeuf, cru;Albume d'uovo, crudo;Egg white, raw;0;45;0;0;0;10,5;6,8;160;0,3
Hülsenfrüchte (Durchschnitt), gekocht (ohne Zugabe von Fett und Salz);Légumineuses (moyenne), cuites (sans adjonction de sel ni de graisse);Legumi (in media), cotti (senza aggiunta di grassi e sale);Legumes/Pulses (average), cooked (without addition of fat and salt);16;140;3;0,3;5,3;9,7;1;2;1
Hülsenfrüchte (Durchschnitt), getrocknet;Légumineuses (moyenne), séchées;Legumi (in media), secchi;Legumes/Pulses, (average) dried;42;355;7;0,8;13,5;24,8;2,7;4,8;2,6
Hüttenkäse, nature;Cottage cheese (fromage frais granulé), nature;Formaggio fresco granulato, al naturale;Cottage cheese;2;105;5;2,7;0;12,7;20;320;2,2
Instant-Kartoffelstock, zubereitet (mit Wasser und Butter);Purée de pommes de terre, préparée (avec de l'eau et du beurre);Purea di patate, preparata (con acqua e burro);Mashed potatoes, instant, prepared (with water and butter);12;85;3;1,6;0,8;2;1,2;220;1,8
Jägersauce;Sauce chasseur;Salsa alla cacciatora;Huntsman sauce;8;60;2;0,5;0,5;2,2;4;620;2,5
Joghurt-Salatsauce (ohne Öl);Sauce de salade au yogourt (sans huile);Salsa per insalate con yogurt (senza olio);Yogurt dressing (without oil);6;70;3;2;0,1;3,7;15;220;5,7
Joghurt Bifidus, nature;Yogourt bifidus, nature;Yogurt bifidus, naturale;Yogurt Bifidus, plain;5;50;4;2,2;0;4,1;7,5;45;4,5
Joghurt gezuckert (Durchschnitt);Yaourt sucré (moyenne);Yogurt zuccherato (in media);Yoghurt with added sugar (average);15;105;3;1,7;0,4;3,8;6,1;44;13,8
Joghurt mit Aroma, mager, mit Süssstoffen;Yogourt maigre avec arômes, édulcoré;Yogurt con aromi, magro con edulcoranti;Yogurt flavored, low fat, with sweetener;7;50;0;0,1;0;4,7;6;45;7
Joghurt mit Früchten, mager, mit Süssstoffen;Yogourt maigre aux fruits, édulcoré;Yogurt alla frutta, magro con edulcoranti;Yogurt with fruit, low fat, with sweetener;7;50;0;0,1;0,9;4,7;6;45;7
Joghurt, Erdbeer;Yogourt aux fraises;Yogurt, alla fragola;Yogurt, strawberry;15;105;3;1,6;0,9;3,5;5,5;42;14,3
Joghurt, Haselnuss;Yogourt aux noisettes;Yogurt, alle nocciole;Yogurt, hazelnut;15;120;5;2,5;0,9;3,9;6,5;46;14
Joghurt, Mokka;Yogourt au café;Yogurt, al caffè;Yogurt, mocca;14;100;3;1,9;0;3,8;6;42;13,2
Joghurt, Mokka, Bio;Yogourt au café, bio;Yogurt, al caffè bio;Yogurt, mocca, organic;13;100;3;;0;3,5;6;42;12,4
Joghurt, nature;Yogourt, nature;Yogurt, naturale;Yogurt natural;5;70;4;2,2;0;4;16;49;4,5
Joghurt, nature, mager;Yogourt, nature, maigre;Yogurt, naturale magro;Yogurt, low fat;6;40;0;0,1;0;4,3;9,5;60;5,5
Joghurt, Schokolade;Yogourt au chocolat;Yogurt, al cioccolato;Yogurt, chocolate;17;120;4;2,4;0,8;4;6;44;15,5
Joghurt, Vanille;Yogourt à la vanille;Yogurt, alla vaniglia;Yogurt, vanilla;14;100;3;1,8;0;3,8;6,5;45;13,1
Johannisbeere, rot, roh;Groseille rouge, crue;Ribes rosso, crudo;Currant, red, raw;5;45;1;0;8,2;1,1;1;3;5
Johannisbeere, schwarz, roh;Cassis, cru;Ribes nero, crudo;Currant, black, raw;9;60;0;0;7;1,3;1;3;9
Johannisbeerkuchen, gebacken (mit Blätterteig);Tarte aux groseilles, cuite au four (pâtes feuilletée);Torta di ribes, cotta nel forno (pasta sfoglia);Red currant pie, baked (with puff pastry);12;135;7;3,8;5,8;2,8;3,2;94;5,1
Johannisbeerkuchen, gebacken (mit Kuchenteig);Tarte aux groseilles, cuite au four (pâte à gateau);Torta di ribes, cotta nel forno (pasta per torta);Red currant pie, baked (with cake dough);14;130;5;2,6;5,9;3,2;3,2;100;5,1
Johannisbeerkuchen, gebacken (mit süssem Mürbeteig);Tarte aux groseilles, cuite au four (pâte brisée sucrée);Torta di ribes, cotta nel forno (pasta frolla dolce);Red currant pie, baked (with sweet short pastry base);18;200;11;6,4;5,3;3,3;2,7;92;7,7
Kaffee löslich, Pulver;Café instantané, poudre;Caffè solubile, polvere;Coffee, instant, powder;43;255;0;0;19,1;11,2;20;58;3,6
Kaffee, schwarz, ungezuckert;Café, noir, non sucré;Caffè, nero, non zuccherato;Coffee, black, no sugar added;0;5;0;0;0,1;0,1;0,1;1,3;0
