de;fr;it;en;carbohydrates, available;energy;fat;fatty saturated;fiber;proteins;salt;sodium;sugars;imageUrl
Fenchel, gedämpft (ohne Zugabe von Salz);Fenouil, à la vapeur (sans adjonction de sel);Finocchio, al vapore (senza aggiunta di sale);Fennel, steamed (without addition of salt);2;25;0;0;3,3;1,1;4,8;13;0,1;https://upload.wikimedia.org/wikipedia/en/0/02/Greek_diples.jpg
Fenchel, roh;Fenouil, cru;Finocchio, crudo;Fennel, raw;2;25;0;0;3,3;1,1;5;15;0,1;http://maxpixel.freegreatpicture.com/static/photo/1x/Garlic-Fennel-Raw-Celeriac-Peppercorns-Vegetable-419825.jpg
Fisch (Durchschnitt), roh ;Poisson (moyen), cru;Pesce (in media), crudo ;Fish (average), raw ;0;140;6;1,4;0;20,2;38;52;0;https://upload.wikimedia.org/wikipedia/commons/4/40/Raw_fish_for_sale.jpg
Fischstäbchen (paniert und vorfritiert), gebraten in HOLL-Rapsöl;Bâtonnet de poisson (pané et préfrit), grillé au colza HOLL;Bastoncino di pesce (impanato e prefritto), cotto in olio di colza HOLL;Fish fingers/sticks (breaded and pre deep fried), fried in HOLL rapeseed oil;17;310;19;1,5;0,9;17,6;96;230;0,1;https://upload.wikimedia.org/wikipedia/commons/c/c2/Belyash.jpg
Fischstäbchen (paniert und vorfritiert), im Ofen gebacken (ohne Zugabe von Fett);Bâtonnet de poisson (pané et préfrit), au four (sans adjonction de graisse);Bastoncino di pesce (impanato e prefritto), cotto al forno (senza aggiunta di grasso);Fish fingers/sticks (breaded and pre deep fried), oven baked (without addition of fat);17;265;13;1,1;0,9;18,4;100;240;0,1;https://upload.wikimedia.org/wikipedia/en/c/c4/DeepFriedTurkey.jpg
Fischstäbchen, paniert und vorfritiert;Bâtonnet de poisson, pané et préfrit;Bastoncino di pesce, impanato e prefritto;Fish fingers (sticks), breaded and pre deep fried;15;235;12;1;0,8;16,2;89;250;0,1;https://upload.wikimedia.org/wikipedia/en/c/c4/DeepFriedTurkey.jpg
Flammenkuchen, gebacken;Tarte flambée, cuite au four;Flammkuchen, cotto nel forno;French pizza from Alsace, baked;23;270;15;7,1;1,4;9,3;4,5;400;2,4;https://upload.wikimedia.org/wikipedia/commons/f/fb/Tarte_flamb%C3%A9e_alsacienne_514471722.jpg
Fleisch (Durchschnitt exkl. Innereien), roh ;Viande (moyenne sans abats), crue;Carne (in media, senza interiora), cruda;Meat (average excluding offal), raw ;0;145;7;2,4;0;21,5;2,1;58;0;https://upload.wikimedia.org/wikipedia/commons/9/96/Testicoli.jpg
Fleischkäse;Fromage d'Italie;Fleischkäse (pasticcio di carne);Luncheon meat;1;260;22;8,8;0;12,5;;900;1,4;https://upload.wikimedia.org/wikipedia/commons/f/f1/HK_Sheung_Wan_Cafe_de_Coral_pan-fried_egg_Luncheon_meat_rice_Aug-2012.JPG
Fleischlasagne, zubereitet;Lasagne de viande, préparée;Lasagne di carne, preparata;Meat lasagne, prepared;13;160;7;3,2;1,6;9,7;4,8;370;2,7;https://upload.wikimedia.org/wikipedia/commons/f/f0/Horse_meat_hamburger_at_restaurant_Hot%27_Horse%2C_Ljubljana%2C_Slovenia.jpg
Flunder, roh;Flet, cru;Passera pianuzza, cruda;Flounder, raw;0;75;1;0,1;0;16,5;6,3;150;0;https://upload.wikimedia.org/wikipedia/commons/thumb/6/64/Flounder_%28PSF%29.png/1024px-Flounder_%28PSF%29.png
Fondue alkoholfrei, zubereitet;Fondue sans alcool, préparé;Fondue senza alcool, preparato;Fondue without alcohol, prepared;2;285;22;13,6;0;19,4;17;120;1;http://adventurejay.com/photoblog/images/2013062617550926_IMG_6138.jpg
Fondue klassisch, zubereitet;Fondue classique, préparé;Fondue classico, preparato;Fondue, prepared;1;310;23;14,4;0;20,6;17;120;0,1;http://adventurejay.com/photoblog/images/2013062617550926_IMG_6138.jpg
Fondue moitié-moitié, zubereitet;Fondue moitié-moitié, préparé;Fondue moitié-moitié, preparato;Fondue moitié-moitié, prepared;1;285;21;12,9;0;17,6;16;410;0;
Forelle, roh;Truite, cru;Trota, cruda;Trout, raw;0;130;7;1,7;0;16;14;40;0;https://cdn.pixabay.com/photo/2015/10/11/09/18/cook-982004_960_720.jpg
Fotzelschnitte ungezuckert;Pain perdu non sucré;Fotzelschnitte non zuccherato;French toast unsweetened;25;225;10;5,1;1,2;8;11;360;1,7;https://upload.wikimedia.org/wikipedia/commons/4/47/Gaufre_liege.jpg
Freiburger Vacherin;Vacherin fribourgeois;Vacherin friborghese;Vacherin Fribourgeois;0;375;30;18,2;0;24;27;600;0;https://upload.wikimedia.org/wikipedia/commons/2/21/Rolf_Beeler_Vacherin_Fribourgeois.png
Frischkäse, Doppelrahm;Fromage frais, double crème;Formaggio fresco, alla doppia panna;Cream cheese, min. 60% fidm;5;340;32;19,2;0;7,9;8;500;2,3;https://upload.wikimedia.org/wikipedia/commons/e/e9/Egyptian_food_Koshary.jpg
Früchte (Durchschnitt), gekocht (ohne Zugabe von Zucker);Fruit (moyenne), cuit (sans adjonction de sucre);Frutta (in media), cotta (senza aggiunta di zucchero);Fruits (average), cooked (without addition of sugar);13;65;0;0,1;2,9;0,6;1,4;3,7;13;https://upload.wikimedia.org/wikipedia/commons/2/2e/Arabic-Shells-Dips-Sauces-Dumplings-Appetizers-Vegetables-1626976.jpg
Früchte (Durchschnitt), getrocknet;Fruits (moyenne), séchés;Frutta (in media), secca;Fruit (average), dried;58;280;1;0,2;10,7;2,8;4,2;12;53,6;https://upload.wikimedia.org/wikipedia/commons/3/30/Dried_rind_of_Cannon-ball_%28Couroupita_guianensis%29_tree_fruit_at_Kakinada_Gandhinagar_park_03.jpg
Früchte (Durchschnitt), roh;Fruit (moyenne), cru;Frutta (in media), cruda;Fruits, raw (average);12;60;0;0;2;0,7;1,2;2,7;11,3;https://upload.wikimedia.org/wikipedia/commons/2/21/MangoImmatureFruits.JPG
Fruchtsaft-Schorle (Durchschnitt, 60% Saft - 40% Wasser), ungezuckert;Jus de fruit dilué (60% jus - 40 % eau), non sucré (moyenne);Succo di frutta diluito (in media), senza aggiunta di zuccheri (60% succo, 40% acqua);Fruit juice diluted (average, 60% juice - 40% water), no sugar added;7;35;0;0;0;0,2;0,9;1,5;7,1;https://upload.wikimedia.org/wikipedia/commons/thumb/9/96/Urolithiasis_world_map-Deaths_per_million_persons-WHO2012.svg/1280px-Urolithiasis_world_map-Deaths_per_million_persons-WHO2012.svg.png
Fruchtsaft (Durchschnitt), ungezuckert;Jus de fruit, non sucré (moyenne);Succo di frutta, senza aggiunta di zucchero (in media);Fruit juice (average), no sugar added;12;55;0;0;0;0,3;1,5;1,8;11,8;https://upload.wikimedia.org/wikipedia/commons/5/5a/Oranges_and_orange_juice.jpg
Fruchtsalat, gezuckert (Konserve);Macédoine de fruits, sucrée, conserve;Macedonia di frutta, zuccherata, conserva;Fruit salad, sweetened, canned;18;80;0;0;1,8;0,5;1,9;0,8;17,7;https://upload.wikimedia.org/wikipedia/commons/b/bb/Biber_p%C3%BCres%C4%B1.JPG
Fruchtsalat, ungezuckert (Konserve);Macédoine de fruits, non sucrée, conserve;Macedonia di frutta, non zuccherata, conserva;Fruit salad, unsweetened, canned;11;55;0;0;2;0,5;2;0,9;11,3;https://upload.wikimedia.org/wikipedia/commons/4/40/Creme_brulee.jpg
Fruchtwähe/-kuchen (Durchschnitt);Tarte aux fruits (moyenne);Torta di frutta (in media);Fruit pie (average);17;155;8;4,3;3,2;2,9;2,9;95;7,7;https://upload.wikimedia.org/wikipedia/commons/4/47/Strawberry-blueberry_pie%2C_July_2009.jpg
Fruchtwähe/-kuchen mit Blätterteig (Durchschnitt);Tarte aux fruits, pâte feuilletée (moyenne);Torta di frutta, pasta sfoglia (in media);Fruit pie with puff pastry (average);15;140;7;3,8;2,4;2,6;3,1;94;7,6;https://upload.wikimedia.org/wikipedia/commons/1/14/Pumpkin_Pie.jpg
Fruchtwähe/-kuchen mit Kuchenteig (Durchschnitt);Tarte aux fruits, pâte à gateau (moyenne);Torta di frutta, pasta per torta (in media);Fruit pie with cake dough (average);17;130;5;2,6;2,6;3;3,2;100;7,6;https://upload.wikimedia.org/wikipedia/commons/1/14/Pumpkin_Pie.jpg
Fruchtwähe/-kuchen mit süssem Mürbeteig (Durchschnitt);Tarte aux fruits, cuite au four, pâte brisée sucrée (moyenne);Torta di frutta, cotta nel forno, pasta frolla dolce (in media);Fruit pie with sweet short pastry base (average);19;200;11;6,4;4,6;3,2;2,5;92;8;https://upload.wikimedia.org/wikipedia/commons/1/14/Pumpkin_Pie.jpg
Fünfkornbier;Bière aux cinq céréales;Birra ai cinque cereali;Beer, five grain;2;40;0;0;0,2;0,6;0;1,4;2;https://upload.wikimedia.org/wikipedia/en/a/ad/Milled_Malted_Barley.JPG
Garnele, gekocht;Crevette, cuite;Gambero, cotto;Shrimp, boiled;1;60;1;0,1;0;12;86;170;0;https://upload.wikimedia.org/wikipedia/commons/b/be/Canto_white_boiled_shrimp.jpg
Garnele, roh;Crevette, crue;Gambero, crudo;Shrimp, raw;1;60;1;0,1;0;11,4;91;190;0;https://upload.wikimedia.org/wikipedia/commons/9/98/Detail_of_raw_shrimp.JPG
Geflügelfleisch (Durchschnitt exkl. Innereien), roh;Viande de volaille (moyenne sans abats), crue;Carne di pollame cruda (in media, senza interiora);Poultry (average excluding offal), raw;0;135;5;1,5;0;21,9;5,4;56;0;https://upload.wikimedia.org/wikipedia/commons/5/50/Svi%C3%B0.jpg
Geflügelfleisch mit Haut (Durchschnitt), roh;Viande de volaille avec peau (moyenne), crue;Carne di pollame con pelle (in media), cruda ;Poultry with skin (average), raw;0;155;8;2,4;0;20,7;9,2;53;0;https://cdn.pixabay.com/photo/2013/01/08/01/18/chicken-legs-74255_960_720.jpg
Geflügelfleisch ohne Haut (Durchschnitt exkl. Innereien), roh;Viande de volaille sans peau (moyenne sans abats), crue;Carne di pollame senza pelle (in media), cruda ;Poultry without skin (average excluding offal), raw;0;115;3;0,8;0;22,9;2,2;58;0;https://upload.wikimedia.org/wikipedia/commons/5/50/Svi%C3%B0.jpg
Geflügellyoner;Charcuterie  de volaille;Lioner di pollo;Lyoner sausage (poultry);1;205;16;5,1;0;13,5;;920;0,9;https://upload.wikimedia.org/wikipedia/commons/7/7f/A_bowl_of_Zuppa_Toscana_prepared_from_the_Wikibooks_recipe.JPG
Gehacktes (Durchschnitt aus Rind, Kalb, Schwein, Poulet), roh;Viande hachée (moyenne de veau, boeuf, porc, poulet), crue;Carne tritata (media di manzo, vitello, maiale e pollo, cruda;Minced meat (average of beef, veal, pork, chicken), raw;0;145;6;2,4;0;21,6;1,5;48;0;https://upload.wikimedia.org/wikipedia/commons/b/ba/Sliced_Matsusaka_wagyu_beef.jpg
Gemüse (Durchschnitt), roh;Légumes (moyenne), crus;Verdura (in media), cruda;Vegetables (average), raw;4;30;0;0;2;1,3;2,6;15;3,5;http://maxpixel.freegreatpicture.com/static/photo/1x/Raw-Vegetables-Cauliflower-Beans-Carrots-1014505.jpg
Gemüsegratin, gebacken;Gratin de légumes, cuit au four;Verdura al gratin, cotta nel forno;Vegetable au gratin, baked;2;60;4;2;1,9;3;4,1;100;1,6;https://cdn.pixabay.com/photo/2013/01/08/01/23/casserole-74322_960_720.jpg
Gemüselasagne, zubereitet;Lasagne de légume, préparée;Lasagne di verdura, preparata;Vegetable lasagne, prepared;12;135;7;4,1;1,1;4,8;5,7;460;2,6;https://media.defense.gov/2009/Apr/23/2000590567/-1/-1/0/090415-F-5788W-008.JPG
Gerstenflocken;Orge, flocons;Fiocchi di orzo;Barley flakes;66;330;2;0,3;10,3;7,9;1;3;2,4;https://pixnio.com/free-images/2016/04/11/barley-kernel-germ-germinating-cereal-flakes.jpg
Gerstenflocken, Vollkorn;Orge, flocons complets;Fiocchi d'orzo, integrali;Barley, wholemeal flakes;66;330;2;0,3;10,3;7,9;1;3;2;https://upload.wikimedia.org/wikipedia/commons/b/b3/Various_grains.jpg
Gerstotto, gekocht;Potée à l'orge, cuite;Orzotto, cotto;Barley risotto, cooked;25;140;2;0,3;1,8;3,4;0,7;340;1,7;https://c1.staticflickr.com/5/4111/5195725576_40a59f0f2e_b.jpg
Geschnetzeltes (Durchschnitt aus Rind, Kalb, Schwein, Geflügel), roh;Viande émincée (moyenne de veau, boeuf, porc, poulet), crue;Spezzatino (media di manzo, vitello, maiale e pollo), crudo;Meat, chopped (average of beef, veal, pork, poultry), raw;0;120;3;1;0;21,9;1,4;53;0;https://upload.wikimedia.org/wikipedia/commons/b/ba/Sliced_Matsusaka_wagyu_beef.jpg
Getreideflocken (Durchschnitt);Flocons de céréales (moyenne);Fiocchi di cereali (in media);Cereal flakes (average);64;345;3;0,6;9;10,2;1,5;7,4;1,5;https://upload.wikimedia.org/wikipedia/commons/thumb/7/7e/Granola_flakes_with_milk.jpg/640px-Granola_flakes_with_milk.jpg
Gipfeli (Durchschnitt);Croissant (moyenne);Cornetti (in media);Croissant (average);40;410;23;13,4;2,7;8;34;850;2;https://upload.wikimedia.org/wikipedia/commons/6/69/Croissant_de_jam%C3%B3n-01.JPG
Glarner Schabziger;Fromage aux herbes glaronnais ;Formaggio alle erbe glaronese ;Schabziger (Swiss green cheese);0;135;1;0,3;0;32,3;0;1740;0;https://upload.wikimedia.org/wikipedia/commons/9/9a/K%C3%A4selagerung_in_einer_kleinen_Sennerei_in_Warth%2C_Vorarlberg.JPG
Gorgonzola;Gorgonzola;Gorgonzola;Gorgonzola;0;360;31;18,7;0;19,4;40;1450;0,1;https://upload.wikimedia.org/wikipedia/commons/1/1e/Gorgonzola_and_a_pear.jpg
Grapefruit, roh;Pamplemousse, cru;Pompelmo, crudo;Grapefruit, fresh;6;30;0;0;1,3;0,7;1,3;1;5,9;http://maxpixel.freegreatpicture.com/static/photo/1x/Fruit-Diet-Grapefruit-Fresh-Lemon-Sweet-Food-1485880.jpg
Greyerzer, vollfett;Gruyère, gras;Formaggio Gruyère, grasso;Greyerzer, at least 45% fidm;0;400;32;19,2;0;27;11;590;0;
Griessbrei, zubereitet (mit teilentrahmter Milch);Semoule, préparée (avec du lait partiellement écrémé);Semolino, preparato (con latte parzialmente scremato);Semolina pudding, prepared (with partially skimmed milk);12;95;3;1,8;0,4;4,8;9,3;72;4,8;https://upload.wikimedia.org/wikipedia/commons/6/62/Danish_combat_ration.jpg
Griessbrei, zubereitet (mit Vollmilch);Semoule, préparée (avec du lait entier);Semolino, preparato (con latte intero);Semolina pudding, prepared (with full fat milk);12;95;3;1,8;0,4;4,8;9,3;72;4,8;https://upload.wikimedia.org/wikipedia/commons/b/bc/Sagu_khiri.jpg
Griessschnitte, zubereitet (mit teilentrahmter Milch);Tranche de semoule, préparée (avec du lait partiellement écrémé);Fetta di semolino, preparato (con latte parzialmente scremato);Semolina slice, prepared (with partially skimmed milk);15;150;6;3,4;0,7;6,3;12;100;3,8;https://upload.wikimedia.org/wikipedia/commons/6/62/Danish_combat_ration.jpg
Griessschnitte, zubereitet (mit Vollmilch);Tranche de semoule, préparée (avec du lait entier);Fetta di semolino, preparato (con latte intero);Semolina slice, prepared (with full fat milk);15;160;8;4,1;0,7;6,3;9,7;100;3,8;https://upload.wikimedia.org/wikipedia/commons/2/2e/Arabic-Shells-Dips-Sauces-Dumplings-Appetizers-Vegetables-1626976.jpg
Grittibänz;Bonhomme en pâte;Grittibänz (pane dolce);Grittibänz (Swiss bread man);47;330;11;6,4;2,2;9,2;5;570;2,8;https://upload.wikimedia.org/wikipedia/commons/b/b9/Basler_Brot_white_background.jpg
Gugelhopf Grossmutter Art;Kouglof façon Grand-mère;Ciambellone a la nonna;Ring cake grandmother style;33;460;32;13,2;3,1;8,3;8,4;140;27,1;https://upload.wikimedia.org/wikipedia/commons/thumb/d/d4/Greater_coat_of_arms_of_Crown_Princess_Victoria%2C_Duchess_of_V%C3%A4sterg%C3%B6tland.svg/995px-Greater_coat_of_arms_of_Crown_Princess_Victoria%2C_Duchess_of_V%C3%A4sterg%C3%B6tland.svg.png
Gulaschsuppe;Soupe goulache;Zuppa gulasch;Goulash soup;6;70;2;1;0,4;4,8;0,5;230;1,4;https://upload.wikimedia.org/wikipedia/commons/0/0f/Hungarian_goulash_soup.jpg
Gummibonbon mit Fruchtessenz;Bonbon gélifié à l'arome de fruit;Caramella gommosa all'aroma di frutta;Jelly babies with fruit essence;79;345;0;0;0;6,6;0;62;74,7;https://upload.wikimedia.org/wikipedia/commons/2/2a/Korea-Seoul-Insadong-Sanchon-02.jpg
Gurke, in Essig eingelegt;Cornichon au vinaigre;Cetriolini, sott'aceto;Cucumber, pickled;2;15;0;0;1;0,7;0;700;1,9;https://upload.wikimedia.org/wikipedia/commons/5/5e/Polish_style_pickled_cucumbers_IMGP0464.jpg
Gurke, roh;Concombre, cru;Cetriolo, crudo;Cucumber, raw;2;15;0;0;0,8;0,7;2,9;0,9;1,9;http://maxpixel.freegreatpicture.com/static/photo/1x/Plant-Raw-Food-Healthy-Cucumber-Food-Vegetarian-1572875.jpg
Hackbraten, im Ofen gebacken;Rôti de viande hachée, cuit au four;Polpettone, cotto al forno;Meat loaf, baked in the oven;8;200;11;3,1;0,6;17,1;4,8;890;0,9;http://maxpixel.freegreatpicture.com/static/photo/1x/Fresh-Bread-Rolls-Roll-Baker-Baking-Tray-Eat-Oven-983765.jpg
Hackplätzli (Rind), gebraten in Rapsöl HOLL;Hamburger (boeuf), grillé au colza HOLL;Hamburger (manzo), cotto in olio di colza HOLL;Burger patty (beef), pan fried in HOLL rapeseed oil;6;205;11;3,2;0,7;20,4;6,7;300;1,5;https://upload.wikimedia.org/wikipedia/commons/1/1f/Idaho_Burger_-_McDonald%27s_jpn.JPG
Haferbrei, zubereitet (mit teilentrahmter Milch);Porridge, préparé (avec du lait partiellement écrémé);Pappa d'avena, preparata (con latte parzialmente scremato);Porridge, prepared (with partially skimmed milk);18;135;4;2,1;0,7;6,4;11;85;5,6;https://upload.wikimedia.org/wikipedia/commons/3/30/Spaghetti_carbonara.jpg
Haferbrei, zubereitet (mit Vollmilch);Porridge, préparé (avec du lait entier);Pappa d'avena, preparata (con latte intero);Porridge, prepared (with full fat milk);16;150;6;3,2;1,9;6,4;12;89;5,7;https://upload.wikimedia.org/wikipedia/commons/e/eb/Cononut_milk.JPG
Haferflocken;Avoine, flocons;Fiocchi di avena;Oat flakes;58;375;8;1;10,5;13,5;0,5;20;1;https://c1.staticflickr.com/8/7391/26566109610_635b5e3092_b.jpg
Haferkleie;Son d'avoine;Crusca d'avena;Oat bran, raw;51;370;7;1,3;15,4;17,3;0;4;0;https://c1.staticflickr.com/5/4154/5021274144_986581e63e_b.jpg
Halbfettbutter;Beurre mi-gras;Burro semigrasso;Butter, 40% fat;4;390;40;24,1;0;4;3,5;120;3,5;https://c1.staticflickr.com/9/8002/7555309022_e0fb687f8c_b.jpg
Halbrahm, pasteurisiert;Demi-crème, pasteurisée;Panna semigrassa, pastorizzata;Cream, pasteurized, 25% fat;3;275;28;16,7;0;2,3;11;35;3,3;https://upload.wikimedia.org/wikipedia/commons/d/dc/Coulommiers_lait_cru.jpg
Halbrahm, UHT;Demi-crème, UHT;Panna semigrassa, UHT;Cream, UHT;4;255;25;15,1;0;2,6;11;34;3,7;https://cdn.pixabay.com/photo/2015/04/01/20/05/cookies-702931_960_720.jpg
Halbweissbrot;Pain mi-blanc;Pane semi-bianco;Semi-white bread;46;240;1;0,1;3,7;9,4;1,1;680;0,4;https://upload.wikimedia.org/wikipedia/commons/thumb/f/f9/Cream_havarti_on_bread.jpg/1024px-Cream_havarti_on_bread.jpg
Hart- und Halbhartkäse, vollfett (Durchschnitt);Fromage à pâte dure et mi-dure, grasse (en moyenne);Formaggio a pasta dura e semi dura, grasso (in media);Hard and semi hard cheese, full fat (average);0;400;32;19,5;0;27,2;15;460;0;https://upload.wikimedia.org/wikipedia/commons/d/dc/Coulommiers_lait_cru.jpg
Hartkaramellen, Hartbonbons;Bonbon dur;Caramella dura;Hard caramels;95;385;0;0,2;0;0,5;0;25;95;https://upload.wikimedia.org/wikipedia/en/7/77/Toffee_Walkers%27_English.jpg
Hartweizengriess, trocken;Semoule de blé dur, sèche;Semola di grano duro, secca;Durum wheat semolina;70;355;1;0,2;4;12,6;5,1;3;0;http://maxpixel.freegreatpicture.com/static/photo/1x/Semolina-Granule-Durum-Wheat-Flour-Wheat-Bran-826170.jpg
Hase (Durchschnitt), roh;Lièvre (moyenne), cru;Lepre (media), cruda;Hare, fresh;0;115;3;1;0;22;0,6;44;0;https://upload.wikimedia.org/wikipedia/commons/7/7b/Fresh_Hare_title.JPG
Haselnuss;Noisette;Nocciole;Hazelnut;7;645;60;4,2;9,7;15,2;6,5;0,9;4,3;https://upload.wikimedia.org/wikipedia/commons/3/3f/Hazelnuts.jpg
Haselnuss-Schokolade-Brotaufstrich;Pâte à tartiner aux noisettes et au chocolat;Crema da spalmare alle nocciole e cioccolato;Hazelnut-chocolate spread;56;550;33;12;2,9;5,8;7;45;54,8;https://c1.staticflickr.com/1/326/18261913240_730d7ff96a_z.jpg
Haselnusskekse;Biscuits aux noisettes;Biscotti alle nocciole;Hazelnut cookie;47;475;28;8;3,5;6,7;2;52;23,3;https://c1.staticflickr.com/9/8279/28879858684_55f886fae8_b.jpg
Haselnussmakrone;Macarons aux noisettes;Biscotti alle nocciole;Hazelnut macaroon;36;535;37;2,6;6;11,4;5,3;80;33,8;https://c2.staticflickr.com/4/3086/3086022566_756ed07ac7_z.jpg?zz=1
Haselnussstängeli;Bâtonnets aux noisettes;Bastoncini alle nocciole;Nut sticks;46;565;37;12,6;3,6;10,1;6;55;23;https://upload.wikimedia.org/wikipedia/commons/f/f7/2015_Baha_Liurai_-_candle_nut_sticks.JPG
Hecht, roh;Brochet, cru;Luccio, crudo;Pike, raw;0;85;1;0,2;0;18,4;8;75;0;http://s0.geograph.org.uk/geophotos/05/13/53/5135312_6193340d.jpg
Hefeteig (mit Butter), süss, ungebacken;Pâte lévée (avec beurre), sucrée, crue;Pasta lievitata (con burro), dolce, cruda;Yeast dough (with butter), sweet, raw;43;315;11;6,1;1,9;8,6;5,1;380;6,4;https://upload.wikimedia.org/wikipedia/commons/4/4c/Berliner-Pfannkuchen.jpg
Hefeteig (mit pflanzlichem Fett), süss, ungebacken;Pâte lévée (avec graisse végétale), sucrée, crue;Pasta lievitata (con grassa vegetale), dolce, cruda;Yeast dough (with vegetable fat), sweet, raw;40;305;12;3,4;2;9,1;5,6;400;1,1;https://upload.wikimedia.org/wikipedia/commons/3/30/Spaghetti_carbonara.jpg
Heidelbeere, roh;Myrtille, crue;Mirtillo, crudo;Blueberry, raw;11;60;1;0;3;0,6;1;2;11,3;https://cdn.pixabay.com/photo/2010/12/13/10/06/background-2281_960_720.jpg
Heilbutt, roh;Flétan, cru;Halibut, crudo;Halibut, raw;0;120;4;0,5;0;20,6;1;64;0;https://upload.wikimedia.org/wikipedia/commons/2/24/StripSteak.jpg
Himbeere, roh;Framboise, crue;Lampone, crudo;Raspberry, raw;7;55;1;0;6,7;1,2;3;3;7;http://maxpixel.freegreatpicture.com/static/photo/1x/Raw-Berry-Blackberries-Plant-Macro-Growing-Fresh-805418.jpg
Hinterschinken;Jambon cuit de derrière;Prosciutto cotto di coscia;Ham, cooked;1;105;2;0,8;0;20,2;3,6;940;0,7;https://upload.wikimedia.org/wikipedia/commons/a/a9/Ham_%284%29.jpg
Hirsch (Durchschnitt), roh;Cerf (moyenne), cru;Cervo (in media), crudo;Deer (average), raw;0;115;3;1,5;0;20,6;0,6;62;0;https://upload.wikimedia.org/wikipedia/commons/4/4e/WP_20150801_15_08_17_Raw_%2820080622060%29.jpg
Hirsch, Entrecôte, roh;Cerf, entrecôte, crue;Cervo, entrecôte, crudo;Deer, entrecôte, raw;0;115;2;1,2;0;23,1;7,8;53;0;https://upload.wikimedia.org/wikipedia/commons/b/ba/Sliced_Matsusaka_wagyu_beef.jpg
Hirse, Korn geschält;Millet, grains décortiqués;Miglio, grano sgusciato;Millet, grain peeled;69;360;4;0,9;3,8;9,8;2,5;3;1,4;https://upload.wikimedia.org/wikipedia/commons/8/82/West_Virginia_trees_%281920%29_%2814804423743%29.jpg
Hirseflocken, Vollkorn;Millet, flocons complets;Fiocchi di miglio, integrali;Millet, wholemeal flakes;69;360;4;0,9;3,8;9,8;2,5;3;1,4;https://upload.wikimedia.org/wikipedia/commons/4/4d/Popcorn_and_pop_sorghum.jpg
Hirsotto, gekocht;Potée au millet, cuite;Migliotto, cotto;Millet risotto, cooked;25;145;3;0,5;1,6;3,6;1,3;350;1,5;https://jscfeatures.jsc.nasa.gov/images/imagefull-1403.png
Hollandaisesauce;Sauce hollandaise;Salsa olandese;Hollandaise sauce;9;215;18;9;0,1;3;4,5;400;6,2;https://upload.wikimedia.org/wikipedia/commons/a/ab/Fresh_Asparagus_and_hollandaise.jpg
Holunderbeere, schwarz, roh;Baie de sureau noir, crue;Bacca di sambuco nero, cruda;Elderberry, raw;7;55;1;0;4;2,5;3;1;7,4;http://maxpixel.freegreatpicture.com/static/photo/1x/Leaves-Raw-Common-Unripe-Cornus-Sanguinea-Dogwood-87160.jpg
Honig (Blütenhonig);Miel (miel de fleurs);Miele (miele di fiori);Honey, from flowers;76;310;0;0;0;0,4;0,5;7;76;https://upload.wikimedia.org/wikipedia/commons/7/7a/Cirsium_vulgare_flowers_and_honey_bee.jpg
Honigmelone, roh;Melon, cru;Melone, crudo;Honeydew melon, raw;8;40;0;0;0,9;0,7;1;18;8;https://cdn.pixabay.com/photo/2012/04/26/19/40/cantaloupe-42903_960_720.png
Hot Dog in Weissbrot mit Ketchup und Senf;Hot Dog en pain blanc avec ketchup et moutarde;Hot Dog in pane bianco con ketchup e senape;Hot Dog in white bread with ketchup and mustard;32;230;7;2,4;1,8;9,1;0,5;800;2,5;https://upload.wikimedia.org/wikipedia/commons/5/53/Hot_dog_on_a_plate_-_Evan_Swigart.jpg
Hühnerei, ganz, festgekocht;Oeuf de poule, entier, cuit dur;Uovo di gallina, bollito, sodo;Chicken egg, whole, hard boiled;0;160;11;2,9;0;13,2;34;150;0,3;https://upload.wikimedia.org/wikipedia/commons/f/fb/Chicken_Egg_without_Eggshell_5859.jpg
Hühnerei, ganz, roh;Oeuf de poule, entier, cru;Uovo di gallina, crudo;Egg, raw;0;145;10;2,6;0;11,9;32;140;0,3;https://upload.wikimedia.org/wikipedia/commons/3/35/Raw_egg.jpg
Hühnereigelb, roh (Eidotter);Jaune d'oeuf, cru;Tuorlo d'uovo, crudo;Egg yolk, raw;0;350;32;9,4;0;16,5;12;50;0,2;https://upload.wikimedia.org/wikipedia/commons/3/35/Raw_egg.jpg
Hühnereiweiss, roh (Eiklar);Blanc d'oeuf, cru;Albume d'uovo, crudo;Egg white, raw;0;45;0;0;0;10,5;6,8;160;0,3;https://upload.wikimedia.org/wikipedia/commons/3/35/Raw_egg.jpg
Hülsenfrüchte (Durchschnitt), gekocht (ohne Zugabe von Fett und Salz);Légumineuses (moyenne), cuites (sans adjonction de sel ni de graisse);Legumi (in media), cotti (senza aggiunta di grassi e sale);Legumes/Pulses (average), cooked (without addition of fat and salt);16;140;3;0,3;5,3;9,7;1;2;1;https://upload.wikimedia.org/wikipedia/commons/2/2c/Flock_of_sheep.jpg
Hülsenfrüchte (Durchschnitt), getrocknet;Légumineuses (moyenne), séchées;Legumi (in media), secchi;Legumes/Pulses, (average) dried;42;355;7;0,8;13,5;24,8;2,7;4,8;2,6;https://upload.wikimedia.org/wikipedia/commons/e/e7/Phaseolus_vulgaris_seed.jpg
